team,player,fumbles,fumblesLost,fumblesRecovered
Buffalo Bills,Josh Allen,1,1,0
New England Patriots,Mac Jones,1,0,0
New England Patriots,Rhamondre Stevenson,1,0,1
New England Patriots,Nelson Agholor,0,0,1
New England Patriots,Matthew Judon,0,0,1
Pittsburgh Steelers,Steven Sims,1,0,1
Green Bay Packers,Rudy Ford,0,0,1
Chicago Bears,Chase Claypool,1,1,0
Jacksonville Jaguars,Travis Etienne Jr.,1,1,0
Detroit Lions,Alex Anzalone,0,0,1
Washington Commanders,Taylor Heinicke,2,1,0
Washington Commanders,Brian Robinson Jr.,1,0,0
Washington Commanders,Tyler Larsen,0,0,1
Washington Commanders,Jamin Davis,0,0,1
New York Giants,Daniel Jones,1,1,0
New York Giants,Oshane Ximines,1,0,1
New York Giants,Azeez Ojulari,0,0,1
Philadelphia Eagles,Jalen Hurts,1,0,0
Philadelphia Eagles,Jordan Mailata,0,0,1
Baltimore Ravens,Justice Hill,1,0,0
Cleveland Browns,Anthony Schwartz,1,1,0
Cleveland Browns,Kareem Hunt,1,0,1
Cleveland Browns,Denzel Ward,0,0,1
Cleveland Browns,Tony Fields II,0,0,1
Houston Texans,Kyle Allen,2,1,1
Houston Texans,Desmond King II,1,1,1
Seattle Seahawks,Geno Smith,1,1,0
Los Angeles Rams,John Wolford,1,0,0
Los Angeles Rams,Tyler Higbee,0,0,1
Los Angeles Rams,Taylor Rapp,0,0,1
Miami Dolphins,Tua Tagovailoa,1,1,0
San Francisco 49ers,Jauan Jennings,1,0,0
San Francisco 49ers,Dre Greenlaw,0,0,1
Kansas City Chiefs,Travis Kelce,1,1,0
Cincinnati Bengals,Germaine Pratt,0,0,1
Los Angeles Chargers,Justin Herbert,2,0,2
Los Angeles Chargers,Austin Ekeler,1,1,0
Los Angeles Chargers,Kyle Van Noy,0,0,1
Las Vegas Raiders,Josh Jacobs,1,1,0
Las Vegas Raiders,Nate Hobbs,0,0,1
Indianapolis Colts,Matt Ryan,1,1,0
Indianapolis Colts,Mo Alie-Cox,1,1,0
Dallas Cowboys,Malik Hooker,0,0,1
Dallas Cowboys,Sam Williams,0,0,1
New Orleans Saints,Jarvis Landry,1,0,1
New Orleans Saints,Rashid Shaheed,1,0,0
New Orleans Saints,Alvin Kamara,0,0,1
New Orleans Saints,Carl Granderson,0,0,1
Tampa Bay Buccaneers,Rachaad White,1,1,0
