team,player,fieldGoalsMade/fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,extraPointsMade/extraPointAttempts,totalKickingPoints
San Francisco 49ers,Robbie Gould,0/1,0.0,0,3/3,3
Seattle Seahawks,Jason Myers,2/2,100.0,51,1/1,7
Indianapolis Colts,Chase McLaughlin,5/5,100.0,52,3/3,18
Minnesota Vikings,Greg Joseph,1/1,100.0,40,4/4,7
Baltimore Ravens,Justin Tucker,1/3,33.0,53,0/0,3
Cleveland Browns,Cade York,2/4,50.0,47,1/1,7
Miami Dolphins,Jason Sanders,3/3,100.0,47,2/2,11
Buffalo Bills,Tyler Bass,1/1,100.0,25,3/3,6
Philadelphia Eagles,Jake Elliott,1/2,50.0,32,2/2,5
Chicago Bears,Cairo Santos,0/0,0.0,0,2/3,2
Atlanta Falcons,Younghoe Koo,1/1,100.0,28,1/1,4
New Orleans Saints,Wil Lutz,0/0,0.0,0,3/3,3
Detroit Lions,Michael Badgley,2/3,67.0,34,2/2,8
New York Jets,Greg Zuerlein,1/2,50.0,34,2/2,5
Pittsburgh Steelers,Chris Boswell,1/1,100.0,50,3/3,6
Carolina Panthers,Eddy Pineiro,3/3,100.0,52,1/1,10
Dallas Cowboys,Brett Maher,2/2,100.0,53,4/4,10
Jacksonville Jaguars,Riley Patterson,2/2,100.0,48,4/4,10
Kansas City Chiefs,Harrison Butker,1/2,50.0,27,1/2,4
Houston Texans,Ka'imi Fairbairn,1/1,100.0,29,3/3,6
Arizona Cardinals,Matt Prater,3/3,100.0,55,0/0,9
Denver Broncos,Brandon McManus,1/2,50.0,52,3/3,6
New England Patriots,Nick Folk,3/3,100.0,54,1/1,10
Las Vegas Raiders,Daniel Carlson,1/1,100.0,49,3/3,6
Tennessee Titans,Randy Bullock,0/1,0.0,0,2/2,2
Los Angeles Chargers,Cameron Dicker,1/1,100.0,43,2/2,5
Cincinnati Bengals,Evan McPherson,2/2,100.0,41,2/2,8
Tampa Bay Buccaneers,Ryan Succop,1/2,50.0,21,2/2,5
New York Giants,Graham Gano,2/2,100.0,50,2/2,8
Washington Commanders,Joey Slye,2/2,100.0,51,0/1,6
Los Angeles Rams,Matt Gay,2/2,100.0,55,0/1,6
Green Bay Packers,Mason Crosby,1/1,100.0,34,3/3,6
