team,player,completions/passingAttempts,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,sacks-sackYardsLost,adjQBR,QBRating
Chicago Bears,Justin Fields,15/29,282,9.7,4,0,3-9,77.8,125.3
Washington Commanders,Sam Howell,37/51,388,7.6,2,1,5-29,46.3,99.1
Jacksonville Jaguars,Trevor Lawrence,25/37,315,8.5,1,0,5-37,71.3,102.9
Buffalo Bills,Josh Allen,27/40,359,9.0,2,1,0-0,89.5,102.0
Houston Texans,C.J. Stroud,20/35,249,7.1,1,0,0-0,51.9,88.9
Atlanta Falcons,Desmond Ridder,28/37,329,8.9,1,0,0-0,80.3,111.2
Atlanta Falcons,Drake London,1/1,22,22.0,0,0,0-0,99.9,118.8
Carolina Panthers,Bryce Young,25/41,247,6.0,3,2,1-4,48.2,82.1
Detroit Lions,Jared Goff,20/28,236,8.4,3,0,2-18,75.7,132.4
Tennessee Titans,Ryan Tannehill,23/34,264,7.8,0,1,1-5,73.1,78.6
Tennessee Titans,Derrick Henry,0/1,0,0.0,0,0,0-0,3.9,39.6
Indianapolis Colts,Gardner Minshew,11/14,155,11.1,0,0,0-0,89.2,112.8
Indianapolis Colts,Anthony Richardson,9/12,98,8.2,0,0,1-17,19.6,98.6
New York Giants,Daniel Jones,14/20,119,6.0,0,0,6-19,52.2,85.2
New York Giants,Tyrod Taylor,9/12,86,7.2,0,0,1-3,50.0,94.4
Miami Dolphins,Tua Tagovailoa,22/30,308,10.3,2,2,1-6,67.2,100.4
New Orleans Saints,Derek Carr,18/26,183,7.0,2,0,2-15,61.6,114.7
New England Patriots,Mac Jones,12/22,110,5.0,0,2,2-21,4.7,30.5
New England Patriots,Bailey Zappe,3/9,22,2.4,0,0,0-0,3.5,42.4
Baltimore Ravens,Lamar Jackson,22/38,236,6.2,0,1,4-26,45.1,65.2
Pittsburgh Steelers,Kenny Pickett,18/32,224,7.0,1,0,3-22,50.9,88.5
Philadelphia Eagles,Jalen Hurts,25/38,303,8.0,1,1,1-8,85.3,87.9
Los Angeles Rams,Matthew Stafford,21/37,222,6.0,2,0,4-27,52.9,92.4
Cincinnati Bengals,Joe Burrow,36/46,317,6.9,3,1,3-30,65.7,108.1
Arizona Cardinals,Joshua Dobbs,15/32,166,5.2,2,2,3-14,8.8,57.6
New York Jets,Zach Wilson,19/26,199,7.7,0,1,4-26,38.3,78.8
Denver Broncos,Russell Wilson,20/31,196,6.3,2,0,4-27,22.9,103.7
Kansas City Chiefs,Patrick Mahomes,31/41,281,6.9,2,0,2-15,83.1,109.9
Minnesota Vikings,Kirk Cousins,29/47,284,6.0,2,0,3-25,66.3,92.9
Dallas Cowboys,Dak Prescott,14/24,153,6.4,1,3,3-13,43.0,51.6
Dallas Cowboys,Cooper Rush,2/2,8,4.0,0,0,1-8,11.5,83.3
San Francisco 49ers,Brock Purdy,17/24,252,10.5,4,0,1-2,84.6,144.4
San Francisco 49ers,Sam Darnold,1/1,1,1.0,0,0,0-0,0.5,79.2
Green Bay Packers,Jordan Love,16/30,182,6.1,0,3,2-7,16.3,32.2
Las Vegas Raiders,Jimmy Garoppolo,22/31,208,6.7,1,1,3-21,33.0,86.5
Las Vegas Raiders,Josh Jacobs,0/0,0,0.0,0,0,1-4,0.2,0.0
